side,symbol,shares,price,date,state
buy,AAPL,0.00000000,,2020-04-17T22:00:17.871000Z,cancelled
sell,ACB,300.00000000,0.72290000,2020-04-17T17:03:54.867000Z,filled
buy,INO,130.00000000,7.99000000,2020-04-17T17:25:14.740000Z,filled
sell,ACB,0.00000000,,2020-04-17T17:03:33.156000Z,cancelled
sell,INO,130.00000000,8.00000000,2020-04-17T15:34:45.312000Z,filled
buy,INO,130.00000000,7.91970000,2020-04-17T14:54:19.058000Z,filled
buy,INO,0.00000000,,2020-04-17T14:54:26.401000Z,cancelled
sell,INO,130.00000000,7.95000000,2020-04-17T14:46:51.580000Z,filled
buy,BA,34.00000000,143.50000000,2020-04-16T21:38:35.420000Z,filled
buy,BA,0.00000000,,2020-04-16T21:38:11.316000Z,cancelled
buy,BA,0.00000000,,2020-04-16T21:34:21.337000Z,cancelled
sell,BA,33.00000000,145.50000000,2020-04-16T21:11:07.325000Z,filled
sell,BA,0.00000000,,2020-04-16T21:10:06.594000Z,cancelled
sell,INO,0.00000000,,2020-04-16T22:55:24.522393Z,cancelled
sell,INO,0.00000000,,2020-04-16T20:21:42.124000Z,cancelled
buy,DAL,0.00000000,,2020-04-16T15:49:52.894000Z,cancelled
buy,DAL,30.00000000,22.90000000,2020-04-16T14:45:24.168000Z,filled
buy,DAL,0.00000000,,2020-04-16T14:45:15.395000Z,cancelled
buy,DAL,0.00000000,,2020-04-16T14:43:20.569000Z,cancelled
buy,DAL,0.00000000,,2020-04-16T14:42:27.706000Z,cancelled
sell,BA,0.00000000,,2020-04-15T22:00:14.369000Z,cancelled
sell,BA,0.00000000,,2020-04-15T18:59:36.257000Z,cancelled
buy,GE,0.00000000,,2020-04-15T22:00:19.441000Z,cancelled
buy,BA,0.00000000,,2020-04-15T16:59:19.768000Z,cancelled
buy,BA,3.00000000,134.00000000,2020-04-15T15:16:17.493000Z,filled
buy,GE,40.00000000,6.60000000,2020-04-15T13:46:44.840000Z,filled
buy,ACB,280.00000000,0.70000000,2020-04-15T13:41:59.205000Z,filled
buy,BA,10.00000000,137.00000000,2020-04-15T13:32:09.719000Z,filled
buy,INO,100.00000000,7.00000000,2020-04-15T13:34:22.410000Z,filled
buy,BA,20.00000000,139.20000000,2020-04-15T13:28:17.994000Z,filled
sell,GRUB,15.00000000,41.40000000,2020-04-14T15:23:13.904000Z,filled
sell,GRUB,0.00000000,,2020-04-14T15:22:50.809000Z,cancelled
sell,GRUB,0.00000000,,2020-04-13T20:25:02.459000Z,cancelled
buy,GRUB,10.00000000,39.72000000,2020-04-13T17:11:38.289000Z,filled
sell,DAL,20.00000000,23.00000000,2020-04-13T17:33:54.442000Z,filled
buy,GE,0.00000000,,2020-04-13T20:40:08.602000Z,cancelled
sell,GRUB,0.00000000,,2020-04-13T17:34:49.636000Z,cancelled
buy,DAL,20.00000000,22.60000000,2020-04-13T14:17:33.887000Z,filled
sell,GRUB,0.00000000,,2020-04-13T14:21:36.809000Z,cancelled
buy,INO,10.00000000,7.60000000,2020-04-13T14:20:49.455000Z,filled
buy,GRUB,5.00000000,41.00000000,2020-04-13T13:32:13.978000Z,filled
sell,NFLX,2.00000000,370.00000000,2020-04-09T16:08:23.372000Z,filled
buy,NFLX,0.00000000,,2020-04-09T16:52:40.107000Z,cancelled
buy,NFLX,2.00000000,368.00000000,2020-04-09T13:55:45.878000Z,filled
sell,GE,0.00000000,,2020-04-09T22:00:36.081000Z,cancelled
sell,INO,0.00000000,,2020-04-09T22:00:08.886000Z,cancelled
sell,MSFT,3.00000000,165.80000000,2020-04-08T18:46:40.680000Z,filled
buy,MSFT,3.00000000,164.00000000,2020-04-08T17:55:45.684000Z,filled
sell,NFLX,2.00000000,373.62500000,2020-04-08T15:16:17.797000Z,filled
sell,NFLX,0.00000000,,2020-04-08T15:14:14.571000Z,cancelled
buy,DAL,0.00000000,,2020-04-15T15:17:47.291000Z,cancelled
sell,DAL,10.00000000,22.89100000,2020-04-08T14:40:17.562000Z,filled
sell,NFLX,0.00000000,,2020-04-08T14:43:38.478000Z,cancelled
buy,NFLX,2.00000000,370.72000000,2020-04-08T14:36:44.977000Z,filled
sell,INO,0.00000000,,2020-04-08T22:00:09.917000Z,cancelled
sell,ZNGA,6.00000000,6.80000000,2020-04-08T16:43:31.270000Z,filled
sell,USFD,7.00000000,18.00000000,2020-04-08T14:17:41.918000Z,filled
sell,USFD,0.00000000,,2020-04-07T22:00:07.209000Z,cancelled
sell,USFD,0.00000000,,2020-04-07T16:47:39.970000Z,cancelled
sell,UPS,1.00000000,97.08000000,2020-04-07T16:24:36.017000Z,filled
sell,MU,2.00000000,47.85000000,2020-04-07T16:04:12.224000Z,filled
sell,JNJ,1.00000000,140.68000000,2020-04-07T15:25:08.740000Z,filled
sell,GLUU,5.00000000,6.20000000,2020-04-07T15:23:49.347000Z,filled
sell,SFIX,12.00000000,13.21000000,2020-04-07T15:21:17.905000Z,filled
buy,DAL,10.00000000,22.00000000,2020-04-07T18:54:44.764000Z,filled
buy,DAL,0.00000000,,2020-04-06T22:00:03.478000Z,cancelled
sell,JNJ,0.00000000,,2020-04-06T20:02:51.634000Z,cancelled
sell,PLUG,11.00000000,3.68000000,2020-04-06T19:50:14.392000Z,filled
sell,PLUG,0.00000000,,2020-04-06T19:44:09.028000Z,cancelled
buy,DAL,0.00000000,,2020-04-06T20:04:52.213748Z,cancelled
buy,DAL,0.00000000,,2020-04-06T14:40:13.042000Z,cancelled
sell,AAPL,2.00000000,250.00000000,2020-04-06T13:40:02.728000Z,filled
sell,AAPL,0.00000000,,2020-04-06T13:39:34.840000Z,cancelled
buy,AAPL,0.00000000,,2020-04-06T13:34:41.181000Z,cancelled
buy,AAPL,0.00000000,,2020-04-06T06:03:54.342024Z,cancelled
buy,AAPL,0.00000000,,2020-04-03T16:03:09.504000Z,cancelled
buy,AAPL,2.00000000,242.08500000,2020-04-03T15:21:13.425000Z,filled
sell,JNJ,0.00000000,,2020-04-02T20:12:59.852000Z,cancelled
buy,LK,2.00000000,7.00000000,2020-04-02T15:25:20.902000Z,filled
buy,LK,0.00000000,,2020-04-02T14:57:35.636000Z,cancelled
sell,BP,1.00000000,25.97000000,2020-04-02T13:30:03.219000Z,filled
sell,BP,0.00000000,,2020-04-02T13:23:37.004000Z,cancelled
sell,UPS,0.00000000,,2020-04-07T15:27:01.064000Z,cancelled
sell,ZNGA,0.00000000,,2020-04-08T13:44:47.396000Z,cancelled
sell,BP,0.00000000,,2020-04-01T17:45:42.352000Z,cancelled
buy,BP,1.00000000,24.89000000,2020-04-01T15:37:19.294000Z,filled
buy,PLUG,1.00000000,3.50000000,2020-03-31T19:16:34.835000Z,filled
buy,SFIX,2.00000000,12.70000000,2020-03-31T17:07:09.062000Z,filled
sell,JNJ,0.00000000,,2020-03-31T16:18:59.468000Z,cancelled
buy,MU,2.00000000,43.90000000,2020-03-31T16:15:50.382000Z,filled
buy,MU,0.00000000,,2020-03-31T16:15:40.197000Z,cancelled
sell,JNJ,0.00000000,,2020-03-31T16:17:30.574000Z,cancelled
buy,VSLR,0.00000000,,2020-03-31T15:47:56.194000Z,cancelled
buy,USFD,7.00000000,18.00000000,2020-03-31T16:23:06.780000Z,filled
buy,USFD,0.00000000,,2020-03-31T15:40:42.686000Z,cancelled
sell,ZNGA,0.00000000,,2020-03-31T15:37:37.553000Z,cancelled
buy,SFIX,10.00000000,13.00000000,2020-03-31T16:21:31.333000Z,filled
buy,SFIX,0.00000000,,2020-03-31T15:43:12.714000Z,cancelled
buy,SFIX,0.00000000,,2020-03-31T15:16:00.133000Z,cancelled
buy,JNJ,1.00000000,131.00000000,2020-03-31T15:14:56.105000Z,filled
buy,SFIX,0.00000000,,2020-03-31T15:13:26.574000Z,cancelled
buy,BP,0.00000000,,2020-03-31T15:17:31.113000Z,cancelled
sell,ZNGA,4.00000000,6.88000000,2020-03-30T22:00:00.993000Z,cancelled
sell,ZNGA,0.00000000,,2020-03-30T20:13:16.227000Z,cancelled
sell,ZNGA,0.00000000,,2020-03-30T20:01:42.811000Z,cancelled
sell,ACB,0.00000000,,2020-04-01T15:04:59.069000Z,cancelled
sell,INO,0.00000000,,2020-03-30T20:16:19.363270Z,cancelled
sell,PLUG,0.00000000,,2020-04-06T15:47:41.256000Z,cancelled
sell,UPS,0.00000000,,2020-04-01T17:43:41.855000Z,cancelled
sell,ZNGA,0.00000000,,2020-03-30T19:56:00.921000Z,cancelled
buy,INO,9.00000000,8.65000000,2020-03-30T15:07:27.072000Z,filled
buy,INO,0.00000000,,2020-03-30T15:02:40.153000Z,cancelled
buy,ZNGA,10.00000000,6.80000000,2020-03-30T15:36:18.143000Z,filled
buy,PLUG,10.00000000,3.65000000,2020-03-30T13:55:48.332000Z,filled
buy,PLUG,0.00000000,,2020-03-30T13:54:33.251000Z,cancelled
buy,UPS,1.00000000,96.50000000,2020-03-30T13:53:45.715000Z,filled
buy,BP,0.00000000,,2020-03-30T14:00:52.479000Z,cancelled
buy,GLUU,4.00000000,6.50000000,2020-03-30T17:02:23.295000Z,filled
sell,GE,0.00000000,,2020-03-30T13:46:00.928000Z,cancelled
buy,INO,1.00000000,9.19000000,2020-03-30T13:30:01.706000Z,filled
buy,BP,0.00000000,,2020-03-30T13:49:24.383000Z,cancelled
buy,GM,0.00000000,,2020-03-28T19:34:17.462662Z,cancelled
buy,GLUU,0.00000000,,2020-03-30T13:48:20.096000Z,cancelled
buy,F,0.00000000,,2020-03-28T19:28:34.789956Z,cancelled
buy,AAPL,0.00000000,,2020-03-30T13:50:57.229000Z,cancelled
sell,AAPL,2.00000000,251.24000000,2020-03-27T19:44:41.561000Z,filled
buy,AAPL,2.00000000,250.38000000,2020-03-27T19:42:31.139000Z,filled
buy,GE,10.00000000,7.72000000,2020-03-27T19:20:15.747000Z,filled
buy,INO,10.00000000,8.26000000,2020-03-27T18:53:40.209000Z,filled
buy,ACB,20.00000000,1.04000000,2020-03-27T18:42:45.389000Z,filled
